"Freq [GHz]","Phi [deg]","Theta [deg]","GainTotal []"
35,-176,54,1.66612367705018
35,-176,56,1.55565573346341
35,-176,58,1.45093510385098
35,-176,60,1.35192218169397
35,-176,62,1.2585355766019
35,-176,64,1.17065932018717
35,-176,66,1.08814945431659
35,-176,68,1.01083996826102
35,-176,70,0.938548074435777
35,-176,72,0.871078830459558
35,-176,74,0.808229128805157
35,-176,76,0.749791085077263
35,-176,78,0.695554862633269
35,-176,80,0.645310975521722
35,-176,82,0.598852114143013
35,-176,84,0.555974539155585
35,-176,86,0.51647908939792
35,-176,88,0.480171849334431
35,-176,90,0.446864521050774
35,-176,92,0.416374545336488
35,-176,94,0.388525016042785
35,-176,96,0.363144431758088
35,-176,98,0.340066328894245
35,-176,100,0.319128840433932
35,-176,102,0.300174224689378
35,-176,104,0.283048408226831
35,-176,106,0.267600586322088
35,-176,108,0.253682922589882
35,-176,110,0.241150386417684
35,-176,112,0.229860762194273
35,-176,114,0.21967485777506
35,-176,116,0.210456930992061
35,-176,118,0.202075342266431
35,-176,120,0.194403428673594
35,-176,122,0.187320580522282
35,-176,124,0.180713486250504
35,-176,126,0.174477496052898
35,-176,128,0.16851804017067
35,-176,130,0.162752025369624
35,-176,132,0.157109124025853
35,-176,134,0.151532865595833
35,-176,136,0.145981441049683
35,-176,138,0.140428137768854
35,-176,140,0.134861335710344
35,-176,142,0.129284015074863
35,-176,144,0.123712750499245
35,-176,146,0.118176195603582
35,-176,148,0.112713092775105
35,-176,150,0.107369874233144
35,-176,152,0.102197949383772
35,-176,154,0.0972507979474002
35,-176,156,0.0925810062574301
35,-176,158,0.0882373938262962
35,-176,160,0.0842623776729145
35,-176,162,0.08068971260187
35,-176,164,0.0775427269544396
35,-176,166,0.0748331463737271
35,-176,168,0.0725605645531326
35,-176,170,0.0707125820101072
35,-176,172,0.0692655942487098
35,-176,174,0.0681861720138871
35,-176,176,0.0674329414218401
35,-176,178,0.0669588430433217
35,-176,180,0.0667136285396421
35,-174,0,4.82413308903292
35,-174,2,4.82282944847316
35,-174,4,4.80337146391917
35,-174,6,4.7661738636785
35,-174,8,4.71188346628654
35,-174,10,4.64136002660324
35,-174,12,4.55565226247307
35,-174,14,4.45597003948241
35,-174,16,4.34365379750154
35,-174,18,4.22014235388604
35,-174,20,4.08694021438545
35,-174,22,3.94558546708307
35,-174,24,3.79761923308945
35,-174,26,3.64455750869962
35,-174,28,3.48786606756562
35,-174,30,3.32893890940745
35,-174,32,3.16908055532057
35,-174,34,3.0094923095667
35,-174,36,2.85126244313703
35,-174,38,2.69536011260014
35,-174,40,2.54263271365338
35,-174,42,2.39380628477091
35,-174,44,2.24948852242806
35,-174,46,2.11017394362738
35,-174,48,1.9762507303843
35,-174,50,1.84800880999554
35,-174,52,1.72564875941378
35,-174,54,1.60929116701214
35,-174,56,1.49898613596589
35,-174,58,1.39472266657093
35,-174,60,1.29643770700461
35,-174,62,1.20402471106109
35,-174,64,1.11734158576475
35,-174,66,1.03621795063656
35,-174,68,0.960461663440337
