1.000000000000000000e+00,1.811628718099870028e+00,2.406487974069839997e-01,5.620982370995699995e+01
1.639999999999999902e+00,1.776212908937299995e+00,3.369857627419129975e-01,5.511512874757340086e+01
2.279999999999999805e+00,1.755408602505859950e+00,4.196106178483799964e-01,5.447162673896009721e+01
2.919999999999999929e+00,1.741357114010640084e+00,4.940916198162980111e-01,5.403642573377249647e+01
3.560000000000000053e+00,1.730943818154500047e+00,5.629371848853149674e-01,5.371441833767050156e+01
4.200000000000000178e+00,1.722780199692599989e+00,6.273268431699110526e-01,5.346228618250790277e+01
4.839999999999999858e+00,1.716141722277529924e+00,6.880441198546679571e-01,5.325737920144150195e+01
5.480000000000000426e+00,1.710599045908010041e+00,7.456866927459879779e-01,5.308634794734639684e+01
6.120000000000000107e+00,1.705875954314969967e+00,8.007167496066820433e-01,5.294063883952689764e+01
6.759999999999999787e+00,1.701785051436859986e+00,8.534916382318119554e-01,5.281445743669610238e+01
7.400000000000000355e+00,1.698194206657710037e+00,9.042908616712029835e-01,5.270371864910419646e+01
8.039999999999999147e+00,1.695007299925580080e+00,9.533375224531960290e-01,5.260545011481509903e+01
8.679999999999999716e+00,1.692152511532609926e+00,1.000813685912770090e+00,5.251743074417200319e+01
9.320000000000000284e+00,1.689574918062870079e+00,1.046870858552839900e+00,5.243796218245839924e+01
9.960000000000000853e+00,1.687231664163360012e+00,1.091637099888520090e+00,5.236571956769250136e+01
1.059999999999999964e+01,1.685088725128000009e+00,1.135221971241169969e+00,5.229965132576720066e+01
1.124000000000000021e+01,1.683118678505109989e+00,1.177720116721250099e+00,5.223891014876279826e+01
1.188000000000000078e+01,1.681299132179129963e+00,1.219213958506220052e+00,5.218280430508860235e+01
1.251999999999999957e+01,1.679611590418699896e+00,1.259775790035750020e+00,5.213076252943650246e+01
1.316000000000000014e+01,1.678040619338009964e+00,1.299469436662699984e+00,5.208230819765630315e+01
1.380000000000000071e+01,1.676573221810099934e+00,1.338351590755709974e+00,5.203703999311969852e+01
1.443999999999999950e+01,1.675198361999179930e+00,1.376472894028700100e+00,5.199461720618720051e+01
