x, y
1, 0
3.166666666666668, -0.016666666666667496
5.277777777777779, -0.05000000000000071
6.944444444444445, -0.05000000000000071
7.888888888888889, -0.09999999999999964
8.722222222222223, -0.09999999999999964
9.777777777777779, -0.11666666666666714
10.75, -0.16666666666666607
12.222222222222221, -0.16666666666666607
13.25, -0.23333333333333428
14, -0.2833333333333332
14.75, -0.2833333333333332
15.833333333333334, -0.36666666666666714
16.416666666666668, -0.4166666666666661
17.75, -0.43333333333333357
18.36111111111111, -0.4666666666666668
19.194444444444443, -0.4833333333333343
20.52777777777778, -0.5
22.47222222222222, -0.5333333333333332
23.5, -0.4833333333333343
24.444444444444443, -0.5333333333333332
25.13888888888889, -0.5166666666666675
25.833333333333332, -0.4833333333333343
26.25, -0.4666666666666668
26.583333333333332, -0.5666666666666664
27.36111111111111, -0.5999999999999996
28.555555555555557, -0.5166666666666675
28.944444444444443, -0.5333333333333332
29.444444444444443, -0.5
30.138888888888886, -0.6333333333333329
30.916666666666664, -0.6999999999999993
32.05555555555556, -0.36666666666666714
32.94444444444444, -0.9166666666666661
33.52777777777778, -1.2166666666666668
34.58333333333333, -1.3166666666666664
35.02777777777778, -1.5333333333333332
35.55555555555556, -2.116666666666667
35.916666666666664, -2.666666666666667
36.166666666666664, -3.25
36.5, -3.8
37.22222222222222, -3.833333333333333
37.52777777777778, -4
37.94444444444444, -4.583333333333333
38.27777777777777, -5.183333333333334
38.416666666666664, -5.483333333333333
38.666666666666664, -5.566666666666666
38.916666666666664, -5.333333333333333
39.02777777777777, -5.033333333333333
39.22222222222222, -4.533333333333333
39.44444444444444, -3.95
39.72222222222222, -3.45
39.97222222222222, -3.2
