1.000000000000000000e+00,1.803580071562751463e+00,2.415725711822049315e-01,5.606209299284599723e+01
3.133333333333299997e+00,1.731686222915629569e+00,5.155534257483664895e-01,5.366242997601000297e+01
5.266666666666700358e+00,1.707263516909882428e+00,7.225779251586054164e-01,5.286464703009300337e+01
7.400000000000000355e+00,1.693576861898833386e+00,8.977902695655251009e-01,5.241967181514399954e+01
9.533333333333299464e+00,1.684459965807261206e+00,1.053066712805698968e+00,5.212411455405700167e+01
1.166666666666700003e+01,1.677806450163397134e+00,1.194261691190135810e+00,5.190877809579399838e+01
1.380000000000000071e+01,1.672663303965475246e+00,1.324776611417395333e+00,5.174244923870799795e+01
1.593333333333299962e+01,1.668530831276096027e+00,1.446785531087743548e+00,5.160885935429799787e+01
1.806666666666700038e+01,1.665113150360629346e+00,1.561828132662367086e+00,5.149834442573399684e+01
2.233333333333300175e+01,1.659741201383095222e+00,1.775189547018358516e+00,5.132440113169499796e+01
2.660000000000000142e+01,1.655666384407197045e+00,1.970976712536171460e+00,5.119201076639500059e+01
3.086666666666700110e+01,1.652440319135944025e+00,2.153032963184425608e+00,5.108665140232199775e+01
3.513333333333299890e+01,1.649806842077277791e+00,2.323965514659654286e+00,5.100004467632499683e+01
3.939999999999999858e+01,1.647607354286238834e+00,2.485639289614892444e+00,5.092708194671799760e+01
4.366666666666699825e+01,1.645737663743100931e+00,2.639445193235377740e+00,5.086441350607100276e+01
4.793333333333300317e+01,1.644126057517154127e+00,2.786453568057805974e+00,5.080974023541600104e+01
5.220000000000000284e+01,1.642721345180368830e+00,2.927503653840549003e+00,5.076143305587999777e+01
5.646666666666700252e+01,1.641485884418108609e+00,3.063288093371141052e+00,5.071828862577999786e+01
6.073333333333300033e+01,1.640391254059896387e+00,3.194350014355034961e+00,5.067941795998999766e+01
6.500000000000000000e+01,1.639415556409081987e+00,3.321161788854532837e+00,5.064412859726599692e+01
