"Freq [GHz]","mag(S(1,1)) []","mag(S(2,1)) []"
1,0.00241517382630416,0.942384458769247
1.69,0.00127620005239863,0.923602440351812
2.38,0.000935491573560763,0.908339938190065
3.07,0.00174189395413032,0.895046764350911
3.76,0.00232724131673213,0.883155888748935
4.45,0.00208097770866008,0.872291637732211
5.14,0.00133834720677561,0.86222883591396
5.83,0.00158989369465544,0.852815270143566
6.52,0.00122853489658584,0.843941952132092
7.21,0.00121525084457766,0.83552606857015
7.9,0.0018300791960159,0.827506103789935
8.59,0.00196428422189363,0.819834311924226
9.28,0.0018271788767715,0.812469616878591
9.97,0.00131566945865162,0.805379481384299
10.66,0.00216499690206962,0.79853542696811
11.35,0.00109944506817033,0.791923894443176
12.04,0.00149936034702854,0.785504385878601
12.73,0.00136667778414314,0.779283136365766
13.42,0.00135413657539785,0.773233575800216
14.11,0.00201778216264801,0.767343677652952
14.8,0.00154304796888155,0.76161057419699
15.49,0.00135092980775042,0.755995797764395
16.18,0.00152387971456567,0.750545738215019
16.87,0.00105014507482055,0.745202182737779
17.56,0.00131958440956218,0.739972131287499
18.25,0.000995919906268123,0.734861612843346
18.94,0.00172812232817343,0.729811543260607
19.63,0.000699628286819544,0.724937021010292
20.32,0.000796647718165834,0.720119087833625
21.01,0.000920261251291321,0.715389058727329
21.7,0.00163434150704582,0.710744383494132
22.39,0.00322658467209891,0.706181001830337
23.08,0.000425972256901497,0.701697516182619
23.77,0.00145688489221755,0.697286802278931
24.46,0.00161413972753235,0.692946281666486
25.15,0.00134567840547276,0.68867969722622
25.84,0.00123629980975164,0.684475365787501
26.53,0.00151880055611878,0.68033232349966
27.22,0.00111110623379598,0.676260107447444
27.91,0.000835212716857854,0.672237685738757
28.6,0.00175007237635077,0.668272280640254
29.29,0.00246964336441525,0.6643803361803
29.98,0.00106043144449143,0.660496552512764
30.67,0.00116482229104762,0.65687375313047
31.36,0.00110062447552002,0.652913407758766
32.05,0.000740599421939605,0.649304863805732
32.74,0.00125328105981485,0.645586891464567
33.43,0.00280321512799932,0.64196805561149
34.12,0.000994383140411763,0.638436466189718
34.81,0.00158464045544144,0.635353461947175
35.5,0.00142923508373537,0.631426510281233
36.19,0.00185299330819532,0.627566559514044
36.88,0.00112728505572956,0.624957278261226
37.57,0.00108188160097656,0.621122440092409
38.26,0.00208798118072096,0.617852429579246
38.95,0.00170370023197005,0.614709034070647
39.64,0.00465435219458718,0.61127933397294
40.33,0.00208845525079361,0.608375577697302
41.02,0.00143556344456817,0.604946656669927
41.71,0.000752757221108034,0.601832345882384
42.4,0.00131338263251375,0.598705088913464
43.09,0.00230425093081831,0.595622441082742
43.78,0.00128367532023557,0.592573775847009
44.47,0.00212609442003048,0.589550305892723
45.16,0.00270921440678903,0.586557554360918
45.85,0.00160817937188777,0.58359768500297
46.54,0.00145119065856801,0.580664561092962
47.23,0.00179259357491921,0.577759344069491
47.92,0.00136405770209568,0.574881533593513
48.61,0.00239440439110571,0.572029500700384
49.3,0.00104096846248054,0.569207240640614
49.99,0.000690148700802283,0.566408338538121
50.68,0.00130841781480312,0.563635395520495
51.37,0.00168539862027214,0.560886940376733
52.06,0.000496368736488676,0.558163796421485
52.75,0.00123291988080289,0.555465048259219
53.44,0.00105963306375894,0.553241301321041
54.13,0.000657014587541693,0.550021099128589
54.82,0.00123102799838414,0.547488120076082
55.51,0.00119324421834236,0.545313709361436
56.2,0.00108251353237883,0.542105423664034
56.89,0.00097200706603758,0.539697966111383
57.58,0.00182846175547125,0.537209429629382
58.27,0.00209830607669341,0.534688648177954
58.96,0.00150882618694674,0.532185267617775
59.65,0.00171264259300246,0.529706492475666
60.34,0.000973484874455461,0.527246408066105
61.03,0.002564272172095,0.524804674204995
61.72,0.00236506632429216,0.522383126359668
62.41,0.00188583331353349,0.519981749889981
63.1,0.00122343822281041,0.517597421680155
63.79,0.00274410871213772,0.515230800278452
64.48,0.00100925541652515,0.512886254384747
65.17,0.00160522074370891,0.510556910337691
65.86,0.00150569208434242,0.50827020859162
66.55,0.00143223077305207,0.506020346733089
67.24,0.000668131925517263,0.503655421626952
67.93,0.00249157356667747,0.501374038010129
68.62,0.00187737088099064,0.499347011394349
69.31,0.00176267904492895,0.49653111757506
70,0.00175101390918685,0.494735978186246
