"Freq [GHz]","sqrt(Epsilon(1)) []","re(Gamma(1))*8.686/100 []","re(Zo(1)) []"
1,2.1260543619126,0.0497843847792295,100.395451199868
1.69,2.12115406215855,0.0690239254143138,100.048515393477
2.38,2.11735260412186,0.085319509348477,99.9137186982678
3.07,2.11472126423219,0.098316023433675,99.8347636770727
3.76,2.11289902284005,0.109163392021918,99.777271194069
4.45,2.1115868243241,0.118787600954904,99.7312001870262
5.14,2.11059554880965,0.127731260754165,99.6927882564375
5.83,2.10981233535425,0.136279055803301,99.6601804470267
6.52,2.10916979616249,0.144570244010225,99.6322037410433
7.21,2.10862680754528,0.152667949103503,99.6079944628271
7.9,2.10815747282507,0.160597829546288,99.5868739896468
8.59,2.10774487240454,0.168368694041577,99.5682981788414
9.28,2.10737750025462,0.175983029863449,99.5518291315245
9.97,2.10704720318093,0.183442037988185,99.537114668961
10.66,2.1067479688003,0.190747756481745,99.5238716479611
11.35,2.10647519916772,0.197903705647329,99.5118721270714
12.04,2.10622526614045,0.204914838742158,99.5009320211415
12.73,2.10599523245455,0.211787215173752,99.4909019460003
13.42,2.10578267168915,0.218527607437837,99.4816599324184
14.11,2.10558554820386,0.225143139785256,99.4731056860076
14.8,2.10540213415118,0.231640996137345,99.4651560945149
15.49,2.10523094994629,0.238028204162377,99.4577417239347
16.18,2.1050707199989,0.244311488352038,99.4508040889446
16.87,2.10492033870308,0.250497179707145,99.4442935248417
17.56,2.10477884357392,0.256591168885261,99.438167524442
18.25,2.10464539355134,0.262598890953263,99.432389433498
18.94,2.10451925117546,0.268525331926562,99.4269274223855
19.63,2.10439976775654,0.274375049406711,99.4217536708679
20.32,2.10428637092398,0.28015220155032,99.4168437175534
21.01,2.10417855410522,0.285860580205248,99.4121759370638
21.7,2.10407586759521,0.291503645322274,99.4077311166477
22.39,2.1039779109517,0.297084558723516,99.4034921106226
23.08,2.10388432650443,0.302606216030441,99.3994435560768
23.77,2.10379479380498,0.308071276074344,99.395571637102
24.46,2.10370902487397,0.313482187475767,99.3918638877368
25.15,2.10362676012551,0.318841212324883,99.3883090260203
25.84,2.10354776486769,0.324150447053257,99.3848968132352
26.53,2.10347182629349,0.329411840682954,99.3816179337102
27.22,2.10339875088959,0.334627210690203,99.3784638915333
27.91,2.10332836220119,0.339798256741809,99.3754269212842
28.6,2.1032604989005,0.344926572563329,99.3724999104764
29.29,2.10319501311436,0.3500136561863,99.369676331853
29.98,2.10313176897293,0.355060918802645,99.36695018403
30.67,2.10307064134746,0.360069692431593,99.3643159392571
31.36,2.10301151474952,0.365041236580359,99.3617684972852
32.05,2.10295428236871,0.369976744056148,99.3593031445
32.74,2.10289884522889,0.374877346064734,99.3569155176205
33.43,2.10284511144636,0.379744116710438,99.3546015713728
34.12,2.10279299557554,0.384578076994123,99.3523575496376
34.81,2.10274241803017,0.3893801983898,99.350179959647
35.5,2.10269330456983,0.394151406066638,99.348065548864
36.19,2.1026455858427,0.398892581811344,99.3460112842299
36.88,2.10259919697751,0.403604566695923,99.3440143335078
37.57,2.10255407721797,0.408288163527486,99.3420720484832
38.26,2.10251016959445,0.412944139109876,99.3401819498178
38.95,2.10246742062825,0.417573226341189,99.3383417133712
39.64,2.10242578006432,0.422176126166678,99.3365491578353
40.33,2.10238520062927,0.426753509402758,99.3348022335377
41.02,2.10234563781152,0.431306018444851,99.3330990122932
41.71,2.10230704966118,0.43583426886944,99.331437678191
42.4,2.10226939660739,0.440338850938787,99.329816519223
43.09,2.10223264129133,0.444820331015347,99.3282339196657
43.78,2.10219674841313,0.449279252891739,99.3266883531387
44.47,2.10216168459138,0.453716139041276,99.3251783762731
45.16,2.10212741823382,0.458131491793381,99.3237026229276
45.85,2.1020939194183,0.462525794437744,99.3222597988987
46.54,2.1020611597829,0.466899512260662,99.3208486770766
47.23,2.10202911242443,0.471253093516759,99.3194680930038
47.92,2.10199775180447,0.475586970339067,99.3181169407962
48.61,2.10196705366244,0.479901559590308,99.3167941693951
49.3,2.10193699493493,0.484197263658082,99.3154987791154
49.99,2.10190755368085,0.488474471196622,99.3142298184648
50.68,2.10187870901186,0.492733557817675,99.3129863812084
51.37,2.1018504410278,0.496974886733016,99.3117676036556
52.06,2.10182273075645,0.501198809351075,99.31057266215
52.75,2.10179556009761,0.505405665830086,99.3094007707436
53.44,2.10176891177087,0.50959578559012,99.3082511790391
54.13,2.10174276926697,0.513769487786316,99.3071231701867
54.82,2.10171711680249,0.51792708174558,99.3060160590196
55.51,2.10169193927745,0.522068867368938,99.3049291903195
56.2,2.10166722223581,0.526195135501688,99.3038619371988
56.89,2.10164295182857,0.53030616827342,99.3028136995907
57.58,2.10161911477924,0.534402239409908,99.3017839028387
58.27,2.10159569835157,0.538483614518792,99.3007719963773
58.96,2.10157269031947,0.542550551350906,99.2997774524956
59.65,2.10155007893869,0.546603300039033,99.2987997651795
60.34,2.10152785292048,0.550642103315761,99.2978384490243
61.03,2.10150600140684,0.554667196712082,99.2968930382137
61.72,2.10148451394738,0.558678808738237,99.2959630855597
62.41,2.10146338047759,0.562677161048283,99.2950481615986
63.1,2.10144259129857,0.566662468589755,99.2941478537404
63.79,2.10142213705791,0.570634939739701,99.2932617654659
64.48,2.10140200873185,0.574594776428332,99.2923895155695
65.17,2.1013821976085,0.578542174251421,99.2915307374446
65.86,2.1013626952721,0.582477322572518,99.2906850784072
66.55,2.10134349358824,0.586400404615997,99.2898521990572
67.24,2.10132458469001,0.590311597551848,99.2890317726735
67.93,2.10130596096492,0.594211072573107,99.2882234846413
68.62,2.10128761504268,0.598098994966703,99.2874270319091
69.31,2.10126953978367,0.601975524178485,99.286642122474
70,2.1012517282681,0.605840813873112,99.2858684748936
