x, y
1.722222222222225, 0.01666666666666572
4.472222222222223, -0.016666666666667496
7.527777777777779, -0.05000000000000071
8.916666666666668, -0.05000000000000071
10.361111111111112, -0.033333333333333215
12.25, -0.05000000000000071
13.805555555555557, -0.08333333333333393
15.583333333333334, -0.08333333333333393
18.11111111111111, -0.09999999999999964
20, -0.09999999999999964
21.194444444444443, -0.11666666666666714
23.444444444444443, -0.13333333333333286
24.416666666666664, -0.16666666666666607
25.083333333333332, -0.18333333333333357
26.083333333333332, -0.1999999999999993
27.11111111111111, -0.3000000000000007
28.083333333333332, -0.36666666666666714
28.97222222222222, -0.43333333333333357
29.888888888888886, -0.5
30.916666666666664, -0.5833333333333339
31.916666666666664, -0.6833333333333336
33.166666666666664, -0.7833333333333332
33.888888888888886, -0.9000000000000004
34.33333333333333, -1.1500000000000004
34.72222222222222, -1.6833333333333336
34.888888888888886, -2.283333333333333
35, -2.9333333333333336
35.08333333333333, -3.5
35.166666666666664, -4.183333333333334
35.25, -4.95
35.33333333333333, -6.050000000000001
35.47222222222222, -7.866666666666667
35.58333333333333, -8.75
35.69444444444444, -9.066666666666666
35.861111111111114, -8.283333333333333
36.02777777777778, -7.1
36.22222222222222, -5.983333333333333
36.361111111111114, -5.35
36.611111111111114, -4.866666666666667
36.83333333333333, -4.666666666666667
37.166666666666664, -4.75
37.416666666666664, -5.083333333333333
37.666666666666664, -5.633333333333334
37.888888888888886, -6.550000000000001
38.02777777777777, -7.333333333333334
38.138888888888886, -8.216666666666667
38.27777777777777, -8.983333333333334
38.388888888888886, -9.983333333333333
38.47222222222222, -10.8
38.55555555555556, -11.516666666666666
38.638888888888886, -12.116666666666667
38.77777777777777, -12.483333333333334
38.94444444444444, -11.733333333333334
39.05555555555556, -10.55
39.166666666666664, -9.316666666666666
39.30555555555556, -8.016666666666666
39.44444444444444, -6.933333333333334
39.55555555555556, -5.933333333333334
39.861111111111114, -4.433333333333334
