1.000000000000000000e+00,2.127664879866305370e+00,4.801135220139228499e-02,1.000537044259299932e+02
3.299999999999999822e+00,2.114797434411225030e+00,9.505551454295536884e-02,9.951921054193100247e+01
5.599999999999999645e+00,2.110756695130445504e+00,1.281229655903262377e-01,9.938004069175400446e+01
7.900000000000000355e+00,2.108635136369851004e+00,1.550466247566593680e-01,9.930677926672400702e+01
1.019999999999999929e+01,2.107283922176126811e+00,1.788948418110073157e-01,9.925923336018999521e+01
1.250000000000000000e+01,2.106319858727586425e+00,2.009645690675647967e-01,9.922549343144200407e+01
1.480000000000000071e+01,2.105579289487503392e+00,2.218517693925654288e-01,9.920028741859400156e+01
1.710000000000000142e+01,2.104981275940287500e+00,2.418474974588404602e-01,9.918079603553600521e+01
1.939999999999999858e+01,2.104481212832107762e+00,2.611011035392600266e-01,9.916532596460099569e+01
2.400000000000000000e+01,2.103678155411278894e+00,2.976715254099696062e-01,9.914241933431199527e+01
2.860000000000000142e+01,2.103050702524002613e+00,3.319144644939643896e-01,9.912627877977099899e+01
3.320000000000000284e+01,2.102541651490381192e+00,3.640567254128022068e-01,9.911418353268899750e+01
3.779999999999999716e+01,2.102118695779926494e+00,3.943283130853858509e-01,9.910462275922999709e+01
4.239999999999999858e+01,2.101761241060196905e+00,4.229726679937618750e-01,9.909671875887599413e+01
4.700000000000000000e+01,2.101455032456607253e+00,4.502310452960590625e-01,9.908994460634799850e+01
5.160000000000000142e+01,2.101189672180286738e+00,4.763274266930399015e-01,9.908397454529399795e+01
5.620000000000000284e+01,2.100957321392178834e+00,5.014612654155818916e-01,9.907860108403799870e+01
6.079999999999999716e+01,2.100751942714393916e+00,5.258039882856230252e-01,9.907368773539299411e+01
6.540000000000000568e+01,2.100568815291610658e+00,5.495004409376862409e-01,9.906914171712300288e+01
7.000000000000000000e+01,2.100404064031466511e+00,5.726417832143632092e-01,9.906490429183999424e+01
